ancestor_concept_id,descendant_concept_id,min_levels_of_separation,max_levels_of_separation
2052490287,2052490287,0,0
2052490288,2052490288,0,0
2052490289,2052490289,0,0
2052490290,2052490290,0,0
2052490291,2052490291,0,0
2052490292,2052490292,0,0
2052490293,2052490293,0,0
2052490294,2052490294,0,0
2052490295,2052490295,0,0
2052490296,2052490296,0,0
2052490297,2052490297,0,0
2052490298,2052490298,0,0
2052490299,2052490299,0,0
2052490300,2052490300,0,0
2052490301,2052490301,0,0
2052490302,2052490302,0,0
2052490303,2052490303,0,0
2052490304,2052490304,0,0
2052490305,2052490305,0,0
2052490306,2052490306,0,0
2052490307,2052490307,0,0
2052490308,2052490308,0,0
2052490309,2052490309,0,0
2052490310,2052490310,0,0
2052490311,2052490311,0,0
2052490312,2052490312,0,0
2052490313,2052490313,0,0
2052490314,2052490314,0,0
2052490315,2052490315,0,0
2052490316,2052490316,0,0
2052490317,2052490317,0,0
2052490318,2052490318,0,0
2052490319,2052490319,0,0
2052490320,2052490320,0,0
2052490321,2052490321,0,0
2052490322,2052490322,0,0
2052490323,2052490323,0,0
2052490324,2052490324,0,0
2052490325,2052490325,0,0
2052490326,2052490326,0,0
2052490327,2052490327,0,0
2052490328,2052490328,0,0
2052490329,2052490329,0,0
2052490330,2052490330,0,0
2052490331,2052490331,0,0
2052490332,2052490332,0,0
2052490333,2052490333,0,0
2052490334,2052490334,0,0
2052490335,2052490335,0,0
2052490336,2052490336,0,0
2052490337,2052490337,0,0
2052490338,2052490338,0,0
2052490339,2052490339,0,0
2052490340,2052490340,0,0
2052490341,2052490341,0,0
2052490342,2052490342,0,0
2052490343,2052490343,0,0
2052490344,2052490344,0,0
2052490345,2052490345,0,0
2052490346,2052490346,0,0
2052490347,2052490347,0,0
2052490348,2052490348,0,0
2052490349,2052490349,0,0
2052490350,2052490350,0,0
2052490351,2052490351,0,0
2052490352,2052490352,0,0
2052490353,2052490353,0,0
2052490354,2052490354,0,0
2052490355,2052490355,0,0
2052490356,2052490356,0,0
2052490357,2052490357,0,0
2052490358,2052490358,0,0
2052490359,2052490359,0,0
2052490360,2052490360,0,0
2052490361,2052490361,0,0
2052490362,2052490362,0,0
2052490363,2052490363,0,0
2052490364,2052490364,0,0
2052490365,2052490365,0,0
2052490366,2052490366,0,0
2052490367,2052490367,0,0
2052490368,2052490368,0,0
2052490369,2052490369,0,0
2052490370,2052490370,0,0
2052490371,2052490371,0,0
2052490372,2052490372,0,0
2052490373,2052490373,0,0
2052490374,2052490374,0,0
2052490375,2052490375,0,0
2052490376,2052490376,0,0
2052490377,2052490377,0,0
2052490378,2052490378,0,0
2052490379,2052490379,0,0
2052490380,2052490380,0,0
2052490381,2052490381,0,0
2052490382,2052490382,0,0
2052490383,2052490383,0,0
2052490384,2052490384,0,0
2052490385,2052490385,0,0
2052490386,2052490386,0,0
